ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:04.600316', 'src_ip': '20.191.166.67', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 57554, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.357608', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 436, 'protocol_type': 2, 'src_bytes': 436, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.359905', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 508, 'protocol_type': 2, 'src_bytes': 508, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.361437', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 445, 'protocol_type': 2, 'src_bytes': 445, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.362454', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 504, 'protocol_type': 2, 'src_bytes': 504, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.363434', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 445, 'protocol_type': 2, 'src_bytes': 445, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.364567', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 484, 'protocol_type': 2, 'src_bytes': 484, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.365891', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 445, 'protocol_type': 2, 'src_bytes': 445, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.367166', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 498, 'protocol_type': 2, 'src_bytes': 498, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.368091', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 500, 'protocol_type': 2, 'src_bytes': 500, 'dst_bytes': 0} | Predicted label: 11
